move,text_entry
present,"Randomly uses one of the following effects.  Effect                                             | Chance -------------------------------------------------- | -----: Inflicts regular damage with 40 power  |    40% Inflicts regular damage with 80 power  |    30% Inflicts regular damage with 120 power |    10% Heals the target for 1/4 its max HP    |    20%  On average, this move inflicts regular damage with 52 power and heals the target for 1/20 its max HP."
water-gun,Inflicts regular damage.
volt-switch,"Inflicts regular damage, then the user immediately switches out, and the trainer selects a replacement Pokémon from the party.  If the target faints from this attack, the user's trainer selects the new Pokémon to send out first.  If the user is the last Pokémon in its party that can battle, it will not switch out.  The user may be hit by pursuit when it switches out, if it has been targeted and pursuit has not yet been used.  This move may be used even if the user is under the effect of ingrain.  ingrain's effect will end."
twister,"Inflicts regular damage.  Has a $effect_chance% chance to make each target flinch.  If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power."
clamp,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect."
petal-blizzard,Inflicts regular damage.
sweet-scent,Lowers the target's evasion by one stage.
stomping-tantrum,"Inflicts regular damage.  Power is doubled if the user's last move failed for any reason (i.e., produced the message ""But it failed!"") or was ineffective due to types."
aerial-ace,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
protect,"No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will fail.  If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.  lock on, mind reader, and no guard provide a (100 – accuracy)% chance for moves to break through this move.  This does not apply to one-hit KO moves (fissure, guillotine, horn drill, and sheer cold); those are always blocked by this move.  thunder during rain dance and blizzard during hail have a 30% chance to break through this move.  The following effects are not prevented by this move:  * acupressure from an ally * curse's curse effect * Delayed damage from doom desire and future sight; however, these moves will be prevented if they are used this turn * feint, which will also end this move's protection after it hits * imprison * perish song * shadow force * Moves that merely copy the user, such as transform or psych up  This move cannot be selected by assist or metronome."
future-sight,"Inflicts typeless regular damage at the end of the third turn, starting with this one.  This move cannot score a critical hit.  If the target switches out, its replacement will be hit instead.  Damage is calculated at the time this move is used; stat changes and switching out during the delay won't change the damage inflicted.  No move with this effect can be used against the same target again until after the end of the third turn.  This effect breaks through wonder guard.  If the target is protected by protect or detect on the turn this move is used, this move will fail.  However, the damage on the third turn will break through protection.  The damage is applied at the end of the turn, so it ignores endure and focus sash.  This move cannot be copied by mirror move."
charge,"Raises the user's Special Defense by one stage.  If the user uses an electric move next turn, its power will be doubled."
soft-boiled,Heals the user for half its max HP.
ingrain,"Prevents the user from switching out.  User regains 1/16 of its max HP at the end of every turn.  If the user was immune to ground attacks, it will now take normal damage from them.  roar and whirlwind will not affect the user.  The user cannot use magnet rise.  The user may still use u turn to leave the field.  This effect can be passed with baton pass."
instruct,"The target immediately uses its most recently-used move.  This is independent of the target's normal action for the turn (i.e., it may end up moving twice), but otherwise functions as usual, including deduction of PP.  This effect works for disabled moves and ignores torment."
double-iron-bash,Inflicts regular damage.  Hits twice in one turn.
safeguard,"Protects Pokémon on the user's side of the field from major status effects and confusion for five turns.  Does not cancel existing ailments.  This effect remains even if the user leaves the field.  If yawn is used while this move is in effect, it will immediately fail.  defog used by an opponent will end this effect.  This effect does not prevent the confusion caused by outrage, petal dance, or thrash."
embargo,"Target cannot use its held item for five turns.  If the target leaves the field, this effect ends.  If a Pokémon under this effect uses bug bite or pluck on a Pokémon holding a berry, the berry is destroyed but not used.  If a Pokémon under this effect uses fling, it will fail.  This effect is passed by baton pass."
leech-life,Inflicts regular damage.  Drains half the damage inflicted to heal the user.
fake-tears,Lowers the target's Special Defense by two stages.
glaciate,Inflicts regular damage.  Lowers the target's Speed by one stage.
dig,"Inflicts regular damage.  User digs underground for one turn, becoming immune to attack, and hits on the second turn.  During the immune turn, earthquake, fissure, and magnitude still hit the user normally, and their power is doubled if appropriate.  The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.  This move cannot be selected by sleep talk."
eruption,"Inflicts regular damage.  Power increases with the user's remaining HP and is given by `150 * HP / max HP`, to a maximum of 150 when the user has full HP."
expanding-force,Inflicts regular damage.
bide,"User waits for two turns.  On the second turn, the user inflicts twice the damage it accumulated on the last Pokémon to hit it.  Damage inflicted is typeless.  This move cannot be selected by sleep talk."
moonblast,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Attack by one stage.
throat-chop,"Inflicts regular damage.  Silences the target for two turns, preventing it from using any sound-based moves."
quick-attack,Inflicts regular damage.
thunder-wave,Paralyzes the target.
skitter-smack,Inflicts regular damage.
steam-eruption,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.
bulk-up,Raises the user's Attack and Defense by one stage each.
barrier,Raises the user's Defense by two stages.
magic-room,"For five turns (including this one), passive effects of held items are ignored, and Pokémon will not use their held items."
wake-up-slap,"Inflicts regular damage.  If the target is sleeping, this move has double power, and the target wakes up."
parabolic-charge,Heals the user for half the total damage dealt to all targets.
venoshock,"Inflicts regular damage.  If the target is poisoned, this move has double power."
dynamax-cannon,"Inflicts regular damage, then (if successful) sets light screen on the user's side of the field."
shore-up,"Heals the user for ½ its max HP.  During a sandstorm, the healing is increased to ⅔."
miracle-eye,Resets the target's evasion to normal and prevents any further boosting until the target leaves the field.  A dark Pokémon under this effect takes normal damage from psychic moves.  This move itself ignores accuracy and evasion modifiers.
low-sweep,Lowers the target's Speed by one stage.
sandstorm,"Changes the weather to a sandstorm for five turns.  Pokémon that are not ground, rock, or steel take 1/16 their max HP at the end of every turn.  Every rock Pokémon's original Special Defense is raised by 50% for the duration of this effect.  solar beam's power is halved.  moonlight, morning sun, and synthesis only heal 1/4 the user's max HP."
water-sport,"fire moves inflict half damage, regardless of target.  If the user leaves the field, this effect ends."
curse,"If the user is a ghost: user pays half its max HP to place a curse on the target, damaging it for 1/4 its max HP every turn. Otherwise: Lowers the user's Speed by one stage, and raises its Attack and Defense by one stage each.  The curse effect is passed on by baton pass.  This move cannot be copied by mirror move."
kinesis,Lowers the target's accuracy by one stage.
electric-terrain,"For five turns, prevents all Pokémon on the ground from sleeping and strengthens their electric moves to 1.5× their power.  Changes nature power to thunderbolt."
surf,"Inflicts regular damage.  If the target is in the first turn of dive, this move will hit with double power."
aura-sphere,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
knock-off,"Inflicts regular damage.  Target loses its held item.  Neither the user nor the target can recover its item with recycle.  If the target has multitype or sticky hold, it will take damage but not lose its item."
grassy-terrain,"For five turns, heals all Pokémon on the ground for 1/16 their max HP each turn and strengthens their grass moves to 1.5× their power.  Changes nature power to energy ball."
rest,"User falls to sleep and immediately regains all its HP.  If the user has another major status effect, sleep will replace it.  The user will always wake up after two turns, or one turn with early bird.  This move fails if the Pokémon cannot fall asleep due to uproar, insomnia, or vital spirit.  It also fails if the Pokémon is at full health or is already asleep."
toxic,Badly poisons the target.  Never misses when used by a poison-type Pokémon.
attract,"Causes the target to fall in love with the user, giving it a 50% chance to do nothing each turn.  If the user and target are the same gender, or either is genderless, this move will fail.  If either Pokémon leaves the field, this effect ends."
shadow-claw,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
reflect-type,User's type changes to match the target's.
pursuit,"Inflicts regular damage.  If the target attempts to switch out this turn before the user acts, this move hits the target before it leaves and has double power.  This effect can still hit a Pokémon that switches out when it has a substitute up or when an ally has used follow me."
spark,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.
lands-wrath,Inflicts regular damage.
